692784,99999,KING SALMON,US,AK,KQRV,58.667,-156.65,14,19841127,20001205
694604,99999,YUKON TEST AREA,US,AK,,64.721,-146.529,534.9,19831011,19871010
700001,26492,PORTAGE GLACIER,US,AK,PATO,60.785,-148.839,31.4,20060101,20201029
700001,99999,PORTAGE GLACIER,US,AK,PATO,60.783,-148.833,29,20040510,20051231
700197,26558,SELAWIK,US,AK,PASK,66.6,-159.986,7.6,20060101,20201030
700197,99999,SELAWIK,US,AK,PASK,66.617,-160,8,19940818,20051231
700260,27502,W POST-WILL ROGERS MEMORIAL AIRPORT,US,AK,PABR,71.283,-156.782,9.5,19450101,20201030
700264,99999,SSDC,US,AK,,71.317,-155.217,0,19920807,19920807
700265,99999,BARROW W POST-W ROGERS ARPT,US,AK,,71.333,-156.633,4,19750228,19780130
700271,27506,BARROW POINT BARROW,US,AK,KPBA,71.333,-156.65,6.1,19740318,19750302
700300,27503,WAINWRIGHT AIRPORT,US,AK,PAWI,70.639,-159.995,9.1,19991102,20201030
700300,27508,WAINWRIGHT (DEW),US,AK,PAWI,70.617,-159.85,27,19730101,19991231
700300,99999,WAINWRIGHT (DEW),US,AK,PAWI,70.617,-159.85,27,20000101,20041231
700365,99999,SAGWON,US,AK,SAG,69.367,-148.7,198,20130106,20130106
700450,27512,LONELY,US,AK,LNI,70.917,-153.25,9.1,19730101,19890925
700450,99999,LONELY (DEW),US,AK,,70.917,-153.233,12,20020505,20060125
700630,27403,OLIKTOK POW 2,US,AK,POLI,70.5,-149.883,4.9,19730101,19990929
700630,99999,OLIKTOK LRRS,US,AK,POLI,70.5,-149.88,5,20030811,20030811
700631,25715,ATKA AIRPORT,US,AK,PAAK,52.22,-174.206,17.1,20060101,20130430
700631,99999,TATITLEK,US,AK,PAKA,60.872,-146.691,18.9,20040713,20051231
700632,26645,BUCKLAND AIRPORT,US,AK,PABL,65.983,-161.133,9.1,20060101,20201030
700632,99999,BUCKLAND,US,AK,PABL,65.983,-161.15,9,20040713,20051231
700633,99999,BEAUFORT SEA,US,AK,,0,0,-999,20130103,20130425
700634,27408,UGNU-KUPRAUK AIRPORT,US,AK,PAKU,70.331,-149.598,20.4,20060101,20201030
700634,99999,UGNU-KUPARUK AIRPORT,US,AK,PAKU,70.317,-149.583,20,19810220,20051231
700635,26465,GALBRAITH LAKE AIRPORT,US,AK,PAGB,68.479,-149.49,812.6,20060105,20201028
700635,99999,GALBRAITH LAKE,US,AK,PAGB,68.483,-149.483,814,19750108,20051229
700636,27405,PRUDHOE BAY,US,AK,PAUD,70.25,-148.333,14,19730101,19990614
700637,27406,DEADHORSE AIRPORT,US,AK,PASC,70.192,-148.477,18.6,19730101,20201030
700638,99999,FALSE PASS,US,AK,PAKF,54.85,-163.417,6,19730101,20201026
700639,99999,HAPPY VALLEY,US,AK,,69.167,-148.817,297,19740616,19780111
700860,27401,BARTER ISLAND AIRPORT,US,AK,PABA,70.134,-143.577,0.6,19471001,20201030
700860,99999,BARTER ISLAND,US,AK,PABA,70.133,-143.633,15,20000102,20041231
700863,99999,BARTER ISLAND LRRS,US,AK,PBTI,70.134,-143.577,1.5,19901104,19910621
700865,99999,BARTER ISLAND(AWOS),US,AK,,70.133,-143.583,2,19731207,19961009
700866,99999,CHALLENGE ISLAND,US,AK,,70.233,-146.5,-999,19750109,19810328
700867,99999,FRANKLIN BLUFFS,US,AK,,69.717,-148.683,108,19750108,19770816
700868,99999,ATIGUN,US,AK,,68.183,-149.417,1032,19750112,19750401
700869,99999,CHANDALAR SHELF,US,AK,5CD,68.067,-149.583,982,19750109,19780923
701040,26631,CAPE LISBURNE LRRS AIRPORT,US,AK,PALU,68.867,-166.133,4.9,20060101,20201030
701040,99999,CAPE LISBURNE AFS,US,AK,PALU,68.883,-166.133,3,19520829,20051231
701043,26623,POINT HOPE AIRPORT,US,AK,PAPO,68.35,-166.8,4,20060101,20201030
701043,99999,POINT HOPE AIRPORT,US,AK,PAPO,68.35,-166.8,4,19431001,20051231
701045,26649,RED DOG AIRPORT,US,AK,PADG,68.031,-162.903,296.9,20060103,20201030
701045,99999,RED DOG,US,AK,PADG,68.067,-162.833,297,19980226,20051230
701046,26418,CENTRAL AIRPORT,US,AK,PACE,65.567,-144.765,280.4,20020902,20130210
701160,26618,WALES,US,AK,,65.617,-168.05,5,19430701,19771221
701170,26634,TIN CITY LRRS AIRPORT,US,AK,PATC,65.563,-167.921,82.6,20060101,20201030
701170,99999,TIN CITY AFS,US,AK,PATC,65.567,-167.917,83,19530504,20051231
701190,99999,PORT CLARENCE CGS,US,AK,PAPC,65.254,-166.859,3,19730101,20201027
701195,26625,SHISHMAREF/NEW AIRPORT,US,AK,PASH,66.25,-166.089,2.1,20060101,20200227
701195,99999,SHISHMAREF,US,AK,PASH,66.25,-166.083,4,19831104,20051231
701196,102,BOB BARKER MEMORIAL AIRPORT,US,AK,PAIK,66.983,-160.433,51.2,20080822,20201030
701196,99999,BOB BAKER MEM,US,AK,PAIK,66.976,-160.437,50.6,19831222,19850630
701210,26624,POINT LAY LRRS AIRPORT,US,AK,PPIZ,69.733,-163.005,7.6,20060101,20201030
701210,26638,POINT LAY,US,AK,PPIZ,69.817,-162.917,6,19730101,19991231
701210,99999,POINT LAY,US,AK,PPIZ,69.817,-162.917,6,20000101,20051231
701213,26638,POINT LAY LIZ 2,US,AK,PIZ,69.733,-163.017,6.1,19920318,19960630
701213,99999,POINT LAY(DEW/AWOS),US,AK,,69.733,-163.017,6,19901121,19910803
701330,26616,RALPH WIEN MEMORIAL AIRPORT,US,AK,PAOT,66.867,-162.633,9.1,19730101,20201030
701331,99999,DEERING,US,AK,,66.067,-162.75,5,19840402,19850612
701333,26643,DEERING AIRPORT,US,AK,PADE,66.069,-162.764,6.4,19990102,20201030
701333,99999,DEERING,US,AK,PADE,66.083,-162.75,6,19980111,19981229
701334,99999,KOTZEBUE,US,AK,,66.883,-162.6,3,19960801,19961009
701335,26648,NOATAK AIRPORT,US,AK,PAWN,67.566,-162.975,26.8,20060101,20201030
701335,99999,NOATAK,US,AK,PAWN,67.55,-162.967,27,19950708,20051231
701337,103,WALES AIRPORT,US,AK,PAIW,65.617,-168.1,7,20090122,20201030
701338,99999,CHEVAK AIRPORT,US,AK,PAVA,61.533,-165.583,22.9,20090210,20201029
701486,26642,KIVALINA AIRPORT,US,AK,PAVL,67.732,-164.548,3.1,20060101,20201030
701486,99999,KIVALINA,US,AK,PAVL,67.733,-164.55,4,19990114,20051231
701620,26508,UMIAT,US,AK,PAUM,69.367,-152.133,85,19460101,20130411
701625,26542,ANAKTUVUK PASS AIRPORT,US,AK,PAKP,68.167,-151.767,640.1,20060101,20201030
701625,99999,ANAKTUVUK PASS,US,AK,PAKP,68.133,-151.733,641,19800911,20051231
701718,26551,AMBLER AIRPORT,US,AK,PAFM,67.1,-157.85,88.1,20060101,20201030
701718,99999,AMBLER,US,AK,PAFM,67.1,-157.85,102,19880105,20051231
701719,490,SHUNGNAK AIRPORT,US,AK,PAGH,66.888,-157.162,62.8,20091210,20201030
701719,99999,SHUNGNAK,US,AK,PAGH,66.888,-157.162,60,19850208,19891011
701730,26535,INDIAN MOUNTAIN LRRS ARPT,US,AK,PAIM,66,-153.7,388.9,20050101,20201030
701730,99999,INDIAN MOUNTAIN AFS,US,AK,PAIM,66,-153.7,389,19510801,20041231
701740,26533,BETTLES AIRPORT,US,AK,PABT,66.918,-151.519,193.2,19450101,20201030
701745,26480,CHANDALAR LAKE AIRPORT,US,AK,PALR,67.511,-148.493,577.6,20060101,20141009
701745,99999,CHANDALAR LAKE,US,AK,PALR,67.5,-148.483,585,19730624,20051231
701746,99999,DIETRICK (PRIVATE),US,AK,,67.683,-149.733,447,19730825,19750729
701747,26467,MERRILL PASS WEST,US,AK,PAER,61.25,-153.82,358,19730825,19750729
